userID,propertyID,rating
62bad71ae702ef9cf7ef340f,62bacdf98f3dbd95e51d3409,5
62bad71ae702ef9cf7ef340f,62bacdf98f3dbd95e51d3480,5
62bad71ae702ef9cf7ef340f,62bacdf98f3dbd95e51d3494,2
62bad71ae702ef9cf7ef340f,62bacdf98f3dbd95e51d34a8,1
62bad71ae702ef9cf7ef340f,62bacdf98f3dbd95e51d34bc,2
62bad71ae702ef9cf7ef340f,62bacdf98f3dbd95e51d34d0,5
62bad71ae702ef9cf7ef340f,62bacdf98f3dbd95e51d34e4,3
62bad71ae702ef9cf7ef340f,62bacdf98f3dbd95e51d34f8,2
62bad71ae702ef9cf7ef340f,62bacdf98f3dbd95e51d350c,4
62bad71ae702ef9cf7ef340f,62bacdf98f3dbd95e51d3520,5
62bad71ae702ef9cf7ef3410,62bacdf98f3dbd95e51d346f,1
62bad71ae702ef9cf7ef3410,62bacdf98f3dbd95e51d3482,5
62bad71ae702ef9cf7ef3410,62bacdf98f3dbd95e51d3497,3
62bad71ae702ef9cf7ef3410,62bacdf98f3dbd95e51d34b1,2
62bad71ae702ef9cf7ef3410,62bacdf98f3dbd95e51d34c1,2
62bad71ae702ef9cf7ef3410,62bacdf98f3dbd95e51d34d3,4
62bad71ae702ef9cf7ef3410,62bacdf98f3dbd95e51d34e9,1
62bad71ae702ef9cf7ef3410,62bacdf98f3dbd95e51d34fa,1
62bad71ae702ef9cf7ef3410,62bacdf98f3dbd95e51d350e,5
62bad71ae702ef9cf7ef3410,62bacdf98f3dbd95e51d3522,3
62bad71ae702ef9cf7ef3413,62bacdf98f3dbd95e51d347f,4
62bad71ae702ef9cf7ef3413,62bacdf98f3dbd95e51d347e,2
62bad71ae702ef9cf7ef3413,62bacdf98f3dbd95e51d3493,5
62bad71ae702ef9cf7ef3413,62bacdf98f3dbd95e51d3492,3
62bad71ae702ef9cf7ef3413,62bacdf98f3dbd95e51d34a7,2
62bad71ae702ef9cf7ef3413,62bacdf98f3dbd95e51d34a6,3
62bad71ae702ef9cf7ef3413,62bacdf98f3dbd95e51d34a9,5
62bad71ae702ef9cf7ef3413,62bacdf98f3dbd95e51d34a8,4
62bad71ae702ef9cf7ef3413,62bacdf98f3dbd95e51d34cf,1
62bad71ae702ef9cf7ef3413,62bacdf98f3dbd95e51d34ce,5
62bad71ae702ef9cf7ef3414,62bacdf98f3dbd95e51d34e2,3
62bad71ae702ef9cf7ef3414,62bacdf98f3dbd95e51d34e3,5
62bad71ae702ef9cf7ef3414,62bacdf98f3dbd95e51d34f7,2
62bad71ae702ef9cf7ef3414,62bacdf98f3dbd95e51d34f6,4
62bad71ae702ef9cf7ef3414,62bacdf98f3dbd95e51d350b,5
62bad71ae702ef9cf7ef3414,62bacdf98f3dbd95e51d350a,4
62bad71ae702ef9cf7ef3414,62bacdf98f3dbd95e51d351f,2
62bad71ae702ef9cf7ef3414,62bacdf98f3dbd95e51d351e,5
62bad71ae702ef9cf7ef3414,62bacdf98f3dbd95e51d3533,3
62bad71ae702ef9cf7ef3414,62bacdf98f3dbd95e51d3532,4
62bad71ae702ef9cf7ef3415,62bacdf98f3dbd95e51d3534,5
62bad71ae702ef9cf7ef3415,62bacdf98f3dbd95e51d3535,4
62bad71ae702ef9cf7ef3415,62bacdf98f3dbd95e51d3536,2
62bad71ae702ef9cf7ef3415,62bacdf98f3dbd95e51d3537,1
62bad71ae702ef9cf7ef3415,62bacdf98f3dbd95e51d3538,1
